indicator_code,indicator_name,measure_type,topic,source,short_definition
DT.COM.MIBR.CD,"Commitments, IBRD (COM, current US$)",commitment,Economic Policy & Debt: External debt: Commitments,"World Bank, International Debt Statistics.",Commitments (IBRD) are the sum of new commitments on public and publicly guaranteed loans from the International Bank for Reconstruction and Development (IBRD). Data are in current U.S. dollars.
DT.COM.MIDA.CD,"Commitments, IDA (COM, current US$)",commitment,Economic Policy & Debt: External debt: Commitments,"World Bank, International Debt Statistics.",Commitments (IDA) are the sum of new commitments on public and publicly guaranteed loans from the International Development Association (IDA). Data are in current U.S. dollars.
DT.COM.BLAT.CD,"Commitments, bilateral creditors (COM, current US$)",commitment,Economic Policy & Debt: External debt: Commitments,"World Bank, International Debt Statistics.","Bilateral commitments are the total amount of long-term loans for which contracts were signed in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.COM.MLAT.CD,"Commitments, multilateral creditors (COM, current US$)",commitment,Economic Policy & Debt: External debt: Commitments,"World Bank, International Debt Statistics.","Multirateral commitments are the total amount of long-term loans for which contracts were signed in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.COM.OFFT.CD,"Commitments, official creditors (COM, current US$)",commitment,Economic Policy & Debt: External debt: Commitments,"World Bank, International Debt Statistics.","Commitments are the amount of long-term loans for which contracts were signed in the year specified. Debt from official creditors includes loans from international organizations (multilateral loans) and loans from governments (bilateral loans). Loans from international organization include loans and credits from the World Bank, regional development banks, and other multilateral and intergovernmental agencies. Excluded are loans from funds administered by an international organization on behalf of a single donor government; these are classified as loans from governments. Government loans include loans from governments and their agencies (including central banks), loans from autonomous bodies, and direct loans from official export credit agencies. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.COM.PRVT.CD,"Commitments, private creditors (COM, current US$)",commitment,Economic Policy & Debt: External debt: Commitments,"World Bank, International Debt Statistics.","Commitments are the amount of long-term loans for which contracts were signed in the year specified; data for private nonguaranteed debt are not available. Debt from private creditors include bonds that are either publicly issued or privately placed; commercial bank loans from private banks and other private financial institutions; and other private credits from manufacturers, exporters, and other suppliers of goods, and bank credits covered by a guarantee of an export credit agency. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.COM.DPPG.CD,"Commitments, public and publicly guaranteed (COM, current US$)",commitment,Economic Policy & Debt: External debt: Commitments,"World Bank, International Debt Statistics.","Commitments are the total amount of long-term loans for which contracts were signed in the year specified; data for private nonguaranteed debt are not available. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DSB.DPPG.CD,Debt buyback (current US$),other_debt_monetary,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","World Bank, International Debt Statistics.","Debt buyback is the repurchase by a debtor of its own debt, discounted or at par. In the event of a buyback of long-term debt, the face value of the debt bought back will be recorded as a decline in the long-term debt stock, and the cash amount received by creditors will be recorded as a principal repayment. Data are in current U.S. dollars."
DT.DOD.MDRI.CD,Debt forgiveness grants (current US$),debt_relief,Economic Policy & Debt: Official development assistance,Development Assistance Committee of the Organisation for Economic Co-operation and Development.,Debt forgiveness grants data cover both debt cancelled by agreement between debtor and creditor and a reduction in the net present value of non-ODA debt achieved by concessional rescheduling or refinancing. The  data are on a disbursement basis and cover flows from all bilateral and multilateral donors. Data are in current U.S. dollars.
DT.DFR.DPPG.CD,Debt forgiveness or reduction (current US$),debt_relief,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","World Bank, International Debt Statistics.",Debt forgiveness or reduction shows the change in debt stock due to debt forgiveness or reduction. It is derived by subtracting debt forgiven and debt stock reduction from debt buyback. Data are in current U.S. dollars.
DT.TDS.DECB.CD,"Debt service on external debt, central bank (PPG) (TDS, current US$)",debt_service,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","Central bank  debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Data are in current U.S. dollars."
DT.TDS.DEGG.CD,"Debt service on external debt, general government sector (PPG) (TDS, current US$)",debt_service,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","General government  debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars."
DT.TDS.DLXF.CD,"Debt service on external debt, long-term (TDS, current US$)",debt_service,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.TDS.DOPS.CD,"Debt service on external debt, other public sector (PPG) (TDS, current US$)",debt_service,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","Other public sector debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars."
DT.TDS.PRPG.CD,"Debt service on external debt, private guaranteed by public sector (PPG) (TDS, current US$)",debt_service,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","Private sector guaranteed by Public Sector debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars."
DT.TDS.DPNG.CD,"Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$)",debt_service,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","Private nonguaranteed debt service is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Debt service payments are the sum of principal repayments and interest payments actually made in the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.TDS.DPPG.CD,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",debt_service,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","Public and publicly guaranteed debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars."
DT.TDS.DEPS.CD,"Debt service on external debt, public sector (PPG) (TDS, current US$)",debt_service,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","Public sector debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term obligations of public debtors and long-term private obligations guaranteed by a public entity. Data are in current U.S. dollars."
DT.TDS.DECT.CD,"Debt service on external debt, total (TDS, current US$)",debt_service,Economic Policy & Debt: External debt: Debt service,"World Bank, International Debt Statistics.","Total debt service is the sum of principal repayments and interest actually paid in currency, goods, or services on long-term debt, interest paid on short-term debt, and repayments (repurchases and charges) to the IMF. Data are in current U.S. dollars."
DT.DSF.DPPG.CD,Debt stock reduction (current US$),debt_stock,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","World Bank, International Debt Statistics.","Debt stock reductions show the amount that has been netted out of the stock of debt using debt conversion schemes such as buybacks and equity swaps or the discounted value of long-term bonds that were issued in exchange for outstanding debt. It includes the effect of any financial operation that will reduce the debt stock other than debt stock restructuring, repayment of principal and debt forgiven. In particular, debt stock reduction will include the face value of debt bought back, the face value of debt swapped for equity (or ""nature"" or ""development""), any face value reduction that might result as the consequence of a bond exchange, and any face value reduction resulting from an exchange of debt for discount bonds. Data are in current U.S. dollars."
DT.DXR.DPPG.CD,Debt stock rescheduled (current US$),debt_stock,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","World Bank, International Debt Statistics.",Debt stocks rescheduled is the amount of debt outstanding rescheduled in any given year. Data are in current U.S. dollars.
DT.DIS.DECB.CD,"Disbursements on external debt, central bank (PPG) (DIS, current US$)",disbursement,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","Central bank long-term debt are aggregated. The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DIS.DEGG.CD,"Disbursements on external debt, general government sector (PPG) (DIS, current US$)",disbursement,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","General government long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DIS.DLXF.CD,"Disbursements on external debt, long-term (DIS, current US$)",disbursement,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","Disbursements on long-term debt are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DIS.DLTF.CD,"Disbursements on external debt, long-term + IMF (DIS, current US$)",disbursement,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","Disbursements are drawings by the borrower on loan commitments during the year specified. This item includes disbursements on long-term debt and IMF purchases. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. IMF purchases are total drawings on the General Resources Account of the IMF during the year specified, excluding drawings in the reserve tranche. To maintain comparability between data on transactions with the IMF and data on long-term debt, use of IMF credit outstanding at the end of year (stock) is converted to dollars at the SDR exchange rate in effect at the end of year. Purchases are converted at the average SDR exchange rate for the year in which transactions take place. Data are in current U.S. dollars."
DT.DIS.DOPS.CD,"Disbursements on external debt, other public sector (PPG) (DIS, current US$)",disbursement,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","Other public sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DIS.PRPG.CD,"Disbursements on external debt, private guaranteed by public sector (PPG) (DIS, current US$)",disbursement,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","Private sector guaranteed by Public Sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DIS.DPNG.CD,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",disbursement,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","Private nonguaranteed external debt is an external obligation of a private debtor that is not guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DIS.DPPG.CD,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",disbursement,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","Public and publicly guaranteed long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DIS.DEPS.CD,"Disbursements on external debt, public sector (PPG) (DIS, current US$)",disbursement,Economic Policy & Debt: External debt: Disbursements,"World Bank, International Debt Statistics.","Public sector long-term debt are aggregated. Public debt is an external obligation of a public debtor, including the national government, a political subdivision (or an agency of either), and autonomous public bodies. Publicly guaranteed debt is an external obligation of a private debtor that is guaranteed for repayment by a public entity. Disbursements are drawings by the borrower on loan commitments during the year specified. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DOD.DECB.CD,"External debt stocks, central bank (PPG) (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Central Bank debt position at end of the reference period.  The central bank is the financial institution (or institutions) that exercises control over key aspects of the financial system. The monetary authority, normally the agency that issues currency and holds the countrys international reserves. Data are in current U.S. dollars."
DT.DOD.ALLC.CD,"External debt stocks, concessional (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Concessional external debt conveys information about the borrower's receipt of aid from official lenders at concessional terms as defined by the Development Assistance Committee (DAC) of the OECD. Concessional debt is defined as loans with an original grant element of 35 percent or more. The grant element of a loan is the grant equivalent expressed as a percentage of the amount committed. It is used as a measure of the overall cost of borrowing. The grant equivalent of a loan is its commitment (present) value, less the discounted present value of its contractual debt service; conventionally, future service payments are discounted at 5 percent. Loans from major regional development banks--African Development Bank, Asian Development Bank, and the Inter-American Development Bank--and from the World Bank are classified as concessional according to each institution's classification and not according to the DAC definition, as was the practice in earlier reports. Long-term debt outstanding and disbursed is the total outstanding long-term debt at year end. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DOD.DEGG.CD,"External debt stocks, general government sector (PPG) (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","General Government Sector comprises long-term external obligations of public debtors, including the national government of all levels, and political subdivisions (or an agency of either).   Data are in current U.S. dollars."
DT.DOD.DLXF.CD,"External debt stocks, long-term (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Long-term debt is debt that has an original or extended maturity of more than one year. It has three components: public, publicly guaranteed, and private nonguaranteed debt. Data are in current U.S. dollars."
DT.DOD.PRVS.CD,"External debt stocks, long-term private sector (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Long-term private sector external debt conveys information about the distribution of long-term debt for DRS countries by type of debtor (private banks and private entities). Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DOD.PUBS.CD,"External debt stocks, long-term public sector (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Long-term public sector external debt conveys information about the distribution of long-term debt for DRS countries by type of debtor (central government, state and local government, central bank, public and mixed enterprises, and official development banks). Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents by residents of an economy and repayable in currency, goods, or services. Data are in current U.S. dollars."
DT.DOD.DOPS.CD,"External debt stocks, other public sector (PPG) (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Other Public Sector debt comprises long-term external obligations of public debtors, excluding general government. Data are in current U.S. dollars."
DT.DOD.PRPG.CD,"External debt stocks, private guaranteed by public sector (PPG) (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.",Private sector guaranteed by Public Sector debt comprises external obligations of private debtors that are guaranteed for repayment by a public entity. Data are in current U.S. dollars.
DT.DOD.DPNG.CD,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.",Private nonguaranteed external debt comprises long-term external obligations of private debtors that are not guaranteed for repayment by a public entity. Data are in current U.S. dollars.
DT.DOD.DPPG.CD,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Public and publicly guaranteed debt comprises long-term external obligations of public debtors, including the national government,  Public Corporations, State Owned Enterprises, Development Banks and Other Mixed Enterprises, political subdivisions (or an agency of either), autonomous public bodies, and external obligations of private debtors that are guaranteed for repayment by a public entity. Data are in current U.S. dollars."
DT.DOD.DEPS.CD,"External debt stocks, public sector (PPG) (DOD, current US$)",debt_stock,Economic Policy & Debt: External debt: Debt outstanding,"World Bank, International Debt Statistics.","Public sector debt comprises long-term external obligations of public debtors, including the national government of all levels, political subdivisions (or an agency of either), autonomous public bodies such as Public Corporations, State Owned Enterprises, Development Banks and Other Mixed Enterprises. Data are in current U.S. dollars."
